order_id,delivery_partner_id,delivery_time_minutes,delivery_status
1961864118,"2024-07-17 08:47:01",63230,"2024-07-17 08:52:01"
1549769649,"2024-05-28 13:27:29",14983,"2024-05-28 13:25:29"
9185164487,"2024-09-23 13:29:12",39859,"2024-09-23 13:25:12"
9644738826,"2023-11-24 16:33:56",61497,"2023-11-24 16:34:56"
5427684290,"2023-11-20 05:18:39",84315,"2023-11-20 05:17:39"
3265154092,"2023-03-18 16:48:51",554,"2023-03-18 16:49:51"
4898355547,"2023-04-16 19:02:37",14630,"2023-04-16 19:01:37"
6568151549,"2024-03-31 06:39:48",67714,"2024-03-31 06:37:48"
6006693867,"2023-07-14 00:05:36",91362,"2023-07-14 00:02:36"
374186990,"2023-08-09 01:44:30",77203,"2023-08-09 01:37:30"
4455336265,"2023-08-30 19:45:06",64046,"2023-08-30 19:47:06"
3539286337,"2023-04-25 20:39:24",94899,"2023-04-25 20:44:24"
9171116867,"2023-10-22 11:37:33",73907,"2023-10-22 11:25:33"
5504941865,"2024-01-28 03:06:11",56077,"2024-01-28 02:55:11"
5868326481,"2024-03-15 21:21:07",94140,"2024-03-15 21:24:07"
2137046916,"2024-02-03 09:01:32",12377,"2024-02-03 09:03:32"
8195544338,"2023-04-26 04:28:57",102,"2023-04-26 04:20:57"
2889700050,"2024-04-30 16:36:26",45032,"2024-04-30 16:33:26"
65827885,"2023-07-27 00:20:05",1108,"2023-07-27 00:25:05"
4656471694,"2023-12-09 08:35:08",62782,"2023-12-09 08:27:08"
6625178717,"2023-07-01 04:53:22",74906,"2023-07-01 04:40:22"
7169557514,"2023-03-21 05:50:13",79516,"2023-03-21 05:38:13"
2268306684,"2024-05-28 15:10:08",65733,"2024-05-28 15:11:08"
6905293278,"2024-06-16 11:02:23",53868,"2024-06-16 10:36:23"
1769493463,"2024-06-26 07:24:47",22954,"2024-06-26 07:29:47"
5003387344,"2024-06-23 11:00:47",21004,"2024-06-23 11:05:47"
2064484752,"2024-05-07 22:55:49",43022,"2024-05-07 23:00:49"
964822979,"2024-07-13 10:47:00",42914,"2024-07-13 10:49:00"
6037899648,"2024-03-27 18:04:43",59131,"2024-03-27 18:00:43"
9347571484,"2024-11-02 17:39:15",88612,"2024-11-02 17:26:15"
3286177534,"2023-06-25 00:07:15",90038,"2023-06-25 00:09:15"
9073572548,"2023-05-02 23:47:42",28575,"2023-05-02 23:25:42"
8395583761,"2024-08-04 23:48:44",84816,"2024-08-04 23:53:44"
6355378227,"2023-08-11 17:05:36",23910,"2023-08-11 17:06:36"
