order_id,customer_id,order_date,delivery_time
1961864118,30065862,"2024-07-17 08:34:01","2024-07-17 08:52:01"
1549769649,9573071,"2024-05-28 13:14:29","2024-05-28 13:25:29"
9185164487,45477575,"2024-09-23 13:07:12","2024-09-23 13:25:12"
9644738826,88067569,"2023-11-24 16:16:56","2023-11-24 16:34:56"
5427684290,83298567,"2023-11-20 05:00:39","2023-11-20 05:17:39"
3265154092,43367112,"2023-03-18 16:29:51","2023-03-18 16:49:51"
4898355547,13284996,"2023-04-16 18:50:37","2023-04-16 19:01:37"
6568151549,88866835,"2024-03-31 06:26:48","2024-03-31 06:37:48"
6006693867,24496983,"2023-07-13 23:49:36","2023-07-14 00:02:36"
374186990,52215833,"2023-08-09 01:17:30","2023-08-09 01:37:30"
4455336265,43431724,"2023-08-30 19:37:06","2023-08-30 19:47:06"
3539286337,77559557,"2023-04-25 20:32:24","2023-04-25 20:44:24"
9171116867,87107263,"2023-10-22 11:15:33","2023-10-22 11:25:33"
5504941865,76512976,"2024-01-28 02:39:11","2024-01-28 02:55:11"
5868326481,37556526,"2024-03-15 21:07:07","2024-03-15 21:24:07"
2137046916,12059049,"2024-02-03 08:50:32","2024-02-03 09:03:32"
8195544338,26199489,"2023-04-26 04:03:57","2023-04-26 04:20:57"
2889700050,84848018,"2024-04-30 16:22:26","2024-04-30 16:33:26"
65827885,47577193,"2023-07-27 00:13:05","2023-07-27 00:25:05"
4656471694,60728956,"2023-12-09 08:08:08","2023-12-09 08:27:08"
6625178717,62068277,"2023-07-01 04:24:22","2023-07-01 04:40:22"
7169557514,84824280,"2023-03-21 05:27:13","2023-03-21 05:38:13"
2268306684,66742602,"2024-05-28 14:59:08","2024-05-28 15:11:08"
6905293278,97259564,"2024-06-16 10:23:23","2024-06-16 10:36:23"
1769493463,3292927,"2024-06-26 07:13:47","2024-06-26 07:29:47"
5003387344,26592009,"2024-06-23 10:53:47","2024-06-23 11:05:47"
2064484752,89995124,"2024-05-07 22:42:49","2024-05-07 23:00:49"
964822979,88520326,"2024-07-13 10:38:00","2024-07-13 10:49:00"
6037899648,22738465,"2024-03-27 17:44:43","2024-03-27 18:00:43"
9347571484,29562072,"2024-11-02 17:15:15","2024-11-02 17:26:15"
3286177534,10225164,"2023-06-24 23:52:15","2023-06-25 00:09:15"
9073572548,97111069,"2023-05-02 23:13:42","2023-05-02 23:25:42"
8395583761,1989720,"2024-08-04 23:35:44","2024-08-04 23:53:44"
6355378227,67092149,"2023-08-11 16:52:36","2023-08-11 17:06:36"
277376321,89784343,"2024-07-28 04:25:12","2024-07-28 04:45:12"
8559748526,45868300,"2023-04-05 18:07:19","2023-04-05 18:27:19"
1458051433,50760752,"2024-04-26 09:14:56","2024-04-26 09:30:56"
5838302640,96795047,"2023-05-12 05:46:25","2023-05-12 06:02:25"
1380971977,16561710,"2024-06-02 13:04:55","2024-06-02 13:21:55"
1221099013,35156679,"2023-07-23 10:45:59","2023-07-23 11:01:59"
6771166303,87718744,"2023-07-24 04:21:07","2023-07-24 04:36:07"
7111337755,10524732,"2023-05-06 05:52:44","2023-05-06 06:07:44"
5562922993,62416456,"2023-12-06 02:04:19","2023-12-06 02:14:19"
5630957897,69925688,"2024-06-18 07:17:42","2024-06-18 07:32:42"
1787380558,5140660,"2023-11-08 17:24:58","2023-11-08 17:43:58"
32613017,82594354,"2023-03-17 00:20:41","2023-03-17 00:36:41"
2039041670,88324928,"2024-11-01 09:45:47","2024-11-01 10:05:47"
210693801,71235336,"2024-08-21 03:59:25","2024-08-21 04:10:25"
8120002258,57833505,"2024-01-01 00:05:08","2024-01-01 00:15:08"
2177917034,12402437,"2024-02-08 20:03:51","2024-02-08 20:16:51"
4254814926,59890331,"2024-04-21 06:14:58","2024-04-21 06:34:58"
6074172790,14944819,"2023-07-26 02:15:37","2023-07-26 02:26:37"
3381573131,67386193,"2024-07-16 00:33:21","2024-07-16 00:47:21"
3773745777,67701771,"2024-05-02 14:40:25","2024-05-02 14:58:25"
9251939156,89910157,"2023-12-30 12:39:53","2023-12-30 12:51:53"
3872982303,15484407,"2024-02-03 01:04:33","2024-02-03 01:24:33"
2625987757,10769994,"2023-08-01 07:42:43","2023-08-01 07:54:43"
3162249401,85519349,"2024-05-03 13:21:58","2024-05-03 13:31:58"
3108986741,49241309,"2023-10-17 19:29:19","2023-10-17 19:43:19"
1851474741,23348269,"2023-11-01 13:29:17","2023-11-01 13:42:17"
2425099132,85016568,"2023-08-15 01:15:08","2023-08-15 01:30:08"
6706793332,6247821,"2024-10-09 21:50:33","2024-10-09 22:04:33"
2149289255,57579640,"2024-11-01 15:00:29","2024-11-01 15:20:29"
1971008155,2457734,"2023-10-23 22:23:41","2023-10-23 22:43:41"
2087093460,59329145,"2024-07-11 11:31:57","2024-07-11 11:42:57"
2116712588,24043135,"2023-11-11 20:33:38","2023-11-11 20:48:38"
6054358790,59216664,"2024-01-26 10:11:06","2024-01-26 10:31:06"
532660797,41008070,"2024-05-20 06:25:18","2024-05-20 06:37:18"
1491991005,52215833,"2024-03-04 08:49:03","2024-03-04 09:01:03"
4136019599,74179536,"2024-03-23 18:38:14","2024-03-23 18:52:14"
2122832513,55028958,"2024-02-17 19:48:14","2024-02-17 19:58:14"
3717703595,88965399,"2023-04-24 21:33:02","2023-04-24 21:52:02"
3194733693,21866852,"2023-07-05 10:13:13","2023-07-05 10:30:13"
4471162437,27971619,"2024-02-06 12:38:50","2024-02-06 12:52:50"
1609331948,8791577,"2024-01-04 14:06:21","2024-01-04 14:19:21"
6920030794,70372270,"2024-06-24 02:37:36","2024-06-24 02:51:36"
5127172657,32293017,"2024-06-11 18:11:31","2024-06-11 18:30:31"
