customer_id,total_orders,first_order,last_order
30065862,3,"2024-05-04 01:18:51","2024-09-25 11:15:52"
9573071,4,"2023-06-20 18:08:01","2024-07-17 17:30:24"
45477575,5,"2023-10-14 02:32:22","2024-09-23 13:07:12"
88067569,3,"2023-09-26 05:15:28","2024-01-12 21:44:51"
83298567,3,"2023-11-20 05:00:39","2024-04-17 04:26:13"
43367112,3,"2023-03-18 16:29:51","2024-02-09 10:16:54"
13284996,1,"2023-04-16 18:50:37","2023-04-16 18:50:37"
88866835,4,"2023-04-27 08:57:43","2024-03-31 06:26:48"
24496983,2,"2023-07-13 23:49:36","2023-07-22 08:32:43"
52215833,2,"2023-08-09 01:17:30","2024-03-04 08:49:03"
43431724,2,"2023-08-30 19:37:06","2023-10-29 13:27:38"
77559557,2,"2023-04-25 20:32:24","2023-06-08 14:26:52"
87107263,2,"2023-10-22 11:15:33","2024-06-01 12:17:08"
76512976,2,"2024-01-28 02:39:11","2024-03-31 07:48:47"
37556526,4,"2024-03-08 17:58:36","2024-04-12 06:07:28"
12059049,4,"2023-04-09 04:43:09","2024-07-22 11:23:06"
26199489,2,"2023-04-26 04:03:57","2023-06-16 08:24:00"
84848018,3,"2023-08-11 06:31:20","2024-04-30 16:22:26"
47577193,3,"2023-07-27 00:13:05","2024-08-28 16:56:29"
60728956,1,"2023-12-09 08:08:08","2023-12-09 08:08:08"
62068277,3,"2023-07-01 04:24:22","2024-04-18 17:58:30"
84824280,6,"2023-03-18 19:01:19","2024-07-30 05:38:00"
66742602,4,"2023-08-10 21:16:44","2024-05-28 14:59:08"
97259564,2,"2023-08-16 20:03:15","2024-06-16 10:23:23"
3292927,3,"2024-06-08 09:29:25","2024-10-15 03:02:28"
26592009,1,"2024-06-23 10:53:47","2024-06-23 10:53:47"
89995124,2,"2024-01-27 05:15:05","2024-05-07 22:42:49"
88520326,3,"2023-05-20 20:11:04","2024-07-13 10:38:00"
22738465,3,"2023-06-09 11:06:16","2024-08-26 21:19:15"
29562072,4,"2023-09-14 03:54:55","2024-11-02 17:15:15"
10225164,2,"2023-06-24 23:52:15","2024-06-17 12:19:04"
97111069,4,"2023-05-02 23:13:42","2024-03-21 03:58:41"
