customer_id,product_id,rating,feedback_date
2234710,1961864118,30065862,4
5450964,1549769649,9573071,3
482108,9185164487,45477575,3
4823104,9644738826,88067569,4
3537464,5427684290,83298567,3
4089724,3265154092,43367112,2
230696,4898355547,13284996,4
2259308,6568151549,88866835,2
7380970,6006693867,24496983,3
2257242,374186990,52215833,3
1837573,4455336265,43431724,2
258023,3539286337,77559557,3
3081099,9171116867,87107263,4
3158837,5504941865,76512976,5
9465932,5868326481,37556526,4
8111644,2137046916,12059049,4
121425,8195544338,26199489,4
8267419,2889700050,84848018,4
7168244,65827885,47577193,1
2482108,4656471694,60728956,3
3769939,6625178717,62068277,2
9592296,7169557514,84824280,2
1592958,2268306684,66742602,5
2088819,6905293278,97259564,3
3567003,1769493463,3292927,2
2903160,5003387344,26592009,4
7511717,2064484752,89995124,3
1055307,964822979,88520326,3
1477592,6037899648,22738465,3
7898352,9347571484,29562072,3
8804364,3286177534,10225164,3
1208337,9073572548,97111069,4
4382390,8395583761,1989720,4
4858018,6355378227,67092149,4
2400571,277376321,89784343,4
3093140,8559748526,45868300,4
9407783,1458051433,50760752,4
1180902,5838302640,96795047,4
6888502,1380971977,16561710,3
8679241,1221099013,35156679,4
7512781,6771166303,87718744,3
5356601,7111337755,10524732,4
9043273,5562922993,62416456,4
3470106,5630957897,69925688,4
5957700,1787380558,5140660,4
8956798,32613017,82594354,5
4843776,2039041670,88324928,4
8241448,210693801,71235336,3
1664531,8120002258,57833505,3
4940244,2177917034,12402437,5
7165598,4254814926,59890331,3
4424806,6074172790,14944819,4
2074845,3381573131,67386193,1
417728,3773745777,67701771,4
5642561,9251939156,89910157,4
261554,3872982303,15484407,4
1822011,2625987757,10769994,3
4763044,3162249401,85519349,4
5621837,3108986741,49241309,3
4571579,1851474741,23348269,2
3853657,2425099132,85016568,4
7245923,6706793332,6247821,2
2338813,2149289255,57579640,3
2222062,1971008155,2457734,1
6813661,2087093460,59329145,4
4065309,2116712588,24043135,3
3025076,6054358790,59216664,3
9329920,532660797,41008070,3
1307363,1491991005,52215833,3
1930153,4136019599,74179536,4
5614682,2122832513,55028958,1
6784407,3717703595,88965399,4
2013422,3194733693,21866852,4
344048,4471162437,27971619,4
3089818,1609331948,8791577,3
